Title,Year_of_Release,Duration,Genre,Points_Rating,Meta_score,Director,Actors,Votes,Gross
Il padrino,1972,175 min,"
Crime, Drama            ",T,100        ,"
Francis Ford Coppola
","['', 'Marlon Brando ', 'Al Pacino ', 'James Caan ', 'Diane Keaton', '']","
1,638,875
","
$134.97M
"
Il padrino - Parte II,1974,202 min,"
Crime, Drama            ",VM14,90        ,"
Francis Ford Coppola
","['', 'Al Pacino ', 'Robert De Niro ', 'Robert Duvall ', 'Diane Keaton', '']","
1,141,660
","
$57.30M
"
Il cavaliere oscuro,2008,152 min,"
Action, Crime, Drama            ",T,84        ,"
Christopher Nolan
","['', 'Christian Bale ', 'Heath Ledger ', 'Aaron Eckhart ', 'Michael Caine', '']","
2,329,259
","
$534.86M
"
Pulp Fiction,1994,154 min,"
Crime, Drama            ",VM18,94        ,"
Quentin Tarantino
","['', 'John Travolta ', 'Uma Thurman ', 'Samuel L. Jackson ', 'Bruce Willis', '']","
1,844,424
","
$107.93M
"
Heat - La sfida,1995,170 min,"
Crime, Drama, Thriller            ",T,76        ,"
Michael Mann
","['', 'Al Pacino ', 'Robert De Niro ', 'Val Kilmer ', 'Jon Voight', '']","
583,585
","
$67.44M
"
Léon,1994,110 min,"
Action, Crime, Drama            ",T,64        ,"
Luc Besson
","['', 'Jean Reno ', 'Gary Oldman ', 'Natalie Portman ', 'Danny Aiello', '']","
1,045,810
","
$19.50M
"
Il gladiatore,2000,155 min,"
Action, Adventure, Drama            ",T,67        ,"
Ridley Scott
","['', 'Russell Crowe ', 'Joaquin Phoenix ', 'Connie Nielsen ', 'Oliver Reed', '']","
1,353,579
","
$187.71M
"
Schindler's List,1993,195 min,"
Biography, Drama, History            ",T,94        ,"
Steven Spielberg
","['', 'Liam Neeson ', 'Ralph Fiennes ', 'Ben Kingsley ', 'Caroline Goodall', '']","
1,224,254
","
$96.90M
"
Titanic,1997,194 min,"
Drama, Romance            ",T,75        ,"
James Cameron
","['', 'Leonardo DiCaprio ', 'Kate Winslet ', 'Billy Zane ', 'Kathy Bates', '']","
1,056,025
","
$659.33M
"
Crash: Contatto fisico,I) (2004,112 min,"
Crime, Drama, Thriller            ",T,66        ,"
Paul Haggis
","['', 'Don Cheadle ', 'Sandra Bullock ', 'Thandie Newton ', 'Karina Arroyave', '']","
421,335
","
$54.58M
"
Il Signore degli Anelli - La compagnia dell'Anello,2001,178 min,"
Action, Adventure, Drama            ",T,92        ,"
Peter Jackson
","['', 'Elijah Wood ', 'Ian McKellen ', 'Orlando Bloom ', 'Sean Bean', '']","
1,677,196
","
$315.54M
"
Salvate il soldato Ryan,1998,169 min,"
Drama, War            ",VM14,91        ,"
Steven Spielberg
","['', 'Tom Hanks ', 'Matt Damon ', 'Tom Sizemore ', 'Edward Burns', '']","
1,247,698
","
$216.54M
"
